time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average.1,Gaussian Moving Average.2,Unnamed: 12,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ticker
1607351400,100.0,133.0,90.03,119.58,,133.0,90.03,119.58,,,,,59447847.0,,,,,,,,,,,,AI
1607956200,122.16,145.0,98.1,137.59,,145.0,98.1,137.59,,,,,31273497.0,,,,,,,,,,,,AI
1608561000,142.0135,183.9,141.0,161.0,,183.9,141.0,161.0,,,,,35156414.0,,,,,,,,,,,,AI
1609165800,168.68,168.7975,135.0,138.75,,168.7975,135.0,138.75,,,,,18703143.0,,,,,,,,,,,,AI
1609770600,131.14,147.5,112.05,143.63,,147.5,112.05,143.63,,,,,27856286.0,,,,,,,,,,,,AI
1610375400,136.0,151.8396,127.54,134.15,,151.8396,127.54,134.15,,,,,14015217.0,,,,,,,,,,,,AI
1611066600,136.0,137.7899,122.82,126.57,,137.7899,122.82,126.57,,,,,10521198.0,,,,,,,,,,,,AI
1611585000,127.6,160.43,127.36,139.6,,160.43,127.36,139.6,,,,,19012253.0,,,,,,,,,,,,AI
1612189800,140.69,158.27,133.58,146.6,,158.27,133.58,146.6,,,,,13134076.0,,,,,,,,,,,,AI
1612794600,150.0,176.9399,145.8,153.73,,176.9399,145.8,153.73,,,,,12783995.0,140.12,,,,,,,,,,,AI
1613485800,155.4,157.5,131.0,134.54,,157.5,131.0,134.54,,,,,11094138.0,141.616,,,,,,,,,,,AI
1614004200,132.99,134.0,109.5,112.46,,134.0,109.5,112.46,,,,,14728771.0,139.103,,,,,,,,,,,AI
1614609000,116.19,121.88,77.0,95.15,,121.88,77.0,95.15,,,,,34521116.0,132.518,,,,,,,,,,,AI
1615213800,88.01,93.0,82.85,90.0,,93.0,82.85,90.0,,,,,33641530.0,127.643,,,,,,,,,,,AI
