time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average,Gaussian Moving Average,,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1606141800,9.75,9.82,9.7441,9.82,NaN,9.82,9.7441,9.82,NaN,NaN,NaN,NaN,5416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606746600,9.82,10.8,9.72,10.06,NaN,10.8,9.72,10.06,NaN,NaN,NaN,NaN,219111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607351400,10.1,11.39,9.9,10.35,NaN,11.39,9.9,10.35,NaN,NaN,NaN,NaN,953513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607956200,10.49,11.04,10,10.34,NaN,11.04,10,10.34,NaN,NaN,NaN,NaN,204590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608561000,10.2,10.4999,10.1,10.3,NaN,10.4999,10.1,10.3,NaN,NaN,NaN,NaN,525556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1609165800,10.41,10.69,9.97,10.11,NaN,10.69,9.97,10.11,NaN,NaN,NaN,NaN,863537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1609770600,10.3,10.65,10.22,10.42,NaN,10.65,10.22,10.42,NaN,NaN,NaN,NaN,84828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1610375400,10.45,10.67,10.25,10.35,NaN,10.67,10.25,10.35,NaN,NaN,NaN,NaN,1323385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611066600,10.49,10.68,10.33,10.5,NaN,10.68,10.33,10.5,NaN,NaN,NaN,NaN,517532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611585000,10.59,10.72,10.2,10.38,NaN,10.72,10.2,10.38,NaN,NaN,NaN,NaN,1094071,10.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
